,driverId,raceId,age,position,pct_laps_comp,points,grid
7762,16,11,26.632876712328766,10.0,100.0,0.0,12
7763,2,11,32.30958904109589,11.0,100.0,0.0,11
7764,21,11,36.63013698630137,12.0,100.0,0.0,16
7765,15,11,35.136986301369866,13.0,100.0,0.0,18
7766,10,11,27.45205479452055,14.0,100.0,0.0,13
7767,154,11,23.367123287671234,15.0,100.0,0.0,14
7768,153,11,19.432876712328767,16.0,98.24561403508771,0.0,19
7769,69,11,38.602739726027394,17.0,98.24561403508771,0.0,20
7770,6,11,24.63013698630137,18.0,94.73684210526315,0.0,17
7773,8,12,29.89041095890411,1.0,100.0,10.0,6
7774,21,12,36.64931506849315,2.0,100.0,8.0,1
7775,20,12,22.175342465753424,3.0,100.0,6.0,8
7776,9,12,24.745205479452054,4.0,100.0,5.0,5
7777,2,12,32.32876712328767,5.0,100.0,4.0,3
7778,5,12,27.882191780821916,6.0,100.0,3.0,15
7779,22,12,37.295890410958904,7.0,100.0,2.0,4
7780,3,12,24.19178082191781,8.0,100.0,1.0,10
7781,17,12,33.03013698630137,9.0,100.0,0.0,9
7782,10,12,27.471232876712328,10.0,100.0,0.0,7
7783,16,12,26.65205479452055,11.0,100.0,0.0,11
7784,67,12,20.843835616438355,12.0,100.0,0.0,16
7785,6,12,24.649315068493152,13.0,100.0,0.0,18
7786,69,12,38.62191780821918,14.0,100.0,0.0,20
7793,22,13,37.33424657534247,1.0,100.0,10.0,5
7794,18,13,29.671232876712327,2.0,100.0,8.0,6
7795,8,13,29.92876712328767,3.0,100.0,6.0,3
7796,16,13,26.69041095890411,4.0,100.0,5.0,2
7797,4,13,28.145205479452056,5.0,100.0,4.0,8
7798,5,13,27.92054794520548,6.0,100.0,3.0,4
7799,2,13,32.367123287671234,7.0,100.0,2.0,15
7800,20,13,22.213698630136985,8.0,100.0,1.0,9
7801,21,13,36.68767123287671,9.0,100.0,0.0,14
7802,6,13,24.687671232876713,10.0,100.0,0.0,17
7803,10,13,27.50958904109589,11.0,100.0,0.0,16
7804,1,13,24.698630136986303,12.0,98.11320754716981,0.0,1
7805,67,13,20.882191780821916,13.0,98.11320754716981,0.0,19
7806,15,13,35.1945205479452,14.0,98.11320754716981,0.0,11
7807,154,13,23.424657534246574,15.0,98.11320754716981,0.0,12
7808,3,13,24.23013698630137,16.0,96.22641509433963,0.0,18
7813,1,14,24.736986301369864,1.0,100.0,10.0,1
7814,10,14,27.54794520547945,2.0,100.0,8.0,6
7815,4,14,28.183561643835617,3.0,100.0,6.0,5
7816,20,14,22.252054794520546,4.0,100.0,5.0,2
7817,18,14,29.70958904109589,5.0,100.0,4.0,11
7818,22,14,37.37260273972603,6.0,100.0,3.0,9
7819,5,14,27.958904109589042,7.0,100.0,2.0,8
7820,9,14,24.82191780821918,8.0,100.0,1.0,7
7821,6,14,24.726027397260275,9.0,100.0,0.0,10
7822,8,14,29.96712328767123,10.0,100.0,0.0,12
7823,3,14,24.268493150684932,11.0,100.0,0.0,3
7824,15,14,35.23287671232877,12.0,100.0,0.0,14
7825,21,14,36.726027397260275,13.0,100.0,0.0,17
7826,24,14,29.161643835616438,14.0,100.0,0.0,19
7833,20,15,22.27123287671233,1.0,100.0,10.0,1
7834,15,15,35.25205479452055,2.0,100.0,8.0,2
7835,1,15,24.756164383561643,3.0,100.0,6.0,3
7836,8,15,29.986301369863014,4.0,100.0,5.0,5
7837,3,15,24.28767123287671,5.0,100.0,4.0,7
7838,2,15,32.42465753424658,6.0,100.0,3.0,4
7839,22,15,37.391780821917806,7.0,100.0,2.0,6
7840,18,15,29.72876712328767,8.0,100.0,1.0,10
7841,9,15,24.84109589041096,9.0,100.0,0.0,9
7842,4,15,28.202739726027396,10.0,100.0,0.0,16
7843,5,15,27.97808219178082,11.0,100.0,0.0,11
7844,21,15,36.74520547945205,12.0,100.0,0.0,14
7845,16,15,26.747945205479454,13.0,100.0,0.0,8
7846,24,15,29.18082191780822,14.0,100.0,0.0,18
7847,6,15,24.745205479452054,15.0,100.0,0.0,15
7848,154,15,23.482191780821918,16.0,98.11320754716981,0.0,17
7849,17,15,33.12602739726027,17.0,96.22641509433963,0.0,19
7853,17,16,33.16438356164384,1.0,100.0,10.0,2
7854,9,16,24.87945205479452,2.0,100.0,8.0,8
7855,1,16,24.794520547945204,3.0,100.0,6.0,17
7856,20,16,22.30958904109589,4.0,100.0,5.0,15
7857,18,16,29.767123287671232,5.0,100.0,4.0,14
7858,8,16,30.024657534246575,6.0,100.0,3.0,5
7859,67,16,20.97808219178082,7.0,100.0,2.0,6
7860,22,16,37.43013698630137,8.0,100.0,1.0,1
7861,5,16,28.016438356164382,9.0,100.0,0.0,16
7862,155,16,23.112328767123287,10.0,100.0,0.0,11
7863,21,16,36.78356164383562,11.0,100.0,0.0,19
7864,24,16,29.21917808219178,12.0,100.0,0.0,20
7865,154,16,23.52054794520548,13.0,98.59154929577466,0.0,13
7866,153,16,19.586301369863012,14.0,98.59154929577466,0.0,12
7873,95,356,35.654794520547945,1.0,100.0,9.0,6
7874,117,356,34.106849315068494,2.0,100.0,6.0,5
7875,127,356,25.95068493150685,3.0,100.0,4.0,12
7876,65,356,24.767123287671232,4.0,100.0,3.0,10
7877,118,356,34.602739726027394,5.0,100.0,2.0,8
7878,145,356,29.73972602739726,6.0,100.0,1.0,11
7879,156,356,32.4027397260274,7.0,98.36065573770492,0.0,18
7880,138,356,36.10958904109589,8.0,98.36065573770492,0.0,21
7881,129,356,30.583561643835615,9.0,98.36065573770492,0.0,22
7882,105,356,32.276712328767125,10.0,96.72131147540983,0.0,20
7883,102,356,29.03287671232877,11.0,96.72131147540983,0.0,1
7884,112,356,34.68767123287671,12.0,95.08196721311475,0.0,26
7885,110,356,29.84109589041096,13.0,93.44262295081968,0.0,15
7886,157,356,30.997260273972604,14.0,91.80327868852459,0.0,17
7887,119,356,34.964383561643835,15.0,83.60655737704919,0.0,2
7911,102,357,29.10958904109589,1.0,100.0,9.0,1
7912,117,357,34.18356164383562,2.0,100.0,6.0,2
7913,145,357,29.816438356164383,3.0,98.27586206896551,4.0,7
7914,123,357,31.8,4.0,98.27586206896551,3.0,6
7915,118,357,34.679452054794524,5.0,98.27586206896551,2.0,12
7916,156,357,32.47945205479452,6.0,98.27586206896551,1.0,25
7917,133,357,25.115068493150684,7.0,98.27586206896551,0.0,9
7918,99,357,27.161643835616438,8.0,98.27586206896551,0.0,18
7919,158,357,31.304109589041097,9.0,96.55172413793103,0.0,21
7920,110,357,29.91780821917808,10.0,96.55172413793103,0.0,16
7921,65,357,24.843835616438355,11.0,96.55172413793103,0.0,23
7922,78,357,25.112328767123287,12.0,89.65517241379311,0.0,14
7950,102,358,29.147945205479452,1.0,100.0,9.0,1
7951,117,358,34.221917808219175,2.0,100.0,6.0,2
7952,131,358,26.005479452054793,3.0,98.7012987012987,4.0,8
7953,133,358,25.153424657534245,4.0,97.40259740259741,3.0,9
7954,105,358,32.391780821917806,5.0,97.40259740259741,2.0,12
7955,84,358,29.953424657534246,6.0,97.40259740259741,1.0,4
7956,158,358,31.34246575342466,7.0,97.40259740259741,0.0,20
7957,145,358,29.854794520547944,8.0,96.1038961038961,0.0,15
7958,156,358,32.51780821917808,9.0,96.1038961038961,0.0,23
7959,123,358,31.838356164383562,10.0,96.1038961038961,0.0,3
7960,122,358,25.972602739726028,11.0,94.8051948051948,0.0,22
7961,163,358,40.868493150684934,12.0,94.8051948051948,0.0,21
7962,110,358,29.956164383561642,13.0,94.8051948051948,0.0,10
7963,65,358,24.882191780821916,14.0,94.8051948051948,0.0,24
7964,119,358,35.07945205479452,15.0,94.8051948051948,0.0,7
7988,102,359,29.205479452054796,1.0,100.0,9.0,1
7989,119,359,35.136986301369866,2.0,100.0,6.0,5
7990,105,359,32.44931506849315,3.0,100.0,4.0,7
7991,145,359,29.912328767123288,4.0,100.0,3.0,13
7992,117,359,34.27945205479452,5.0,100.0,2.0,2
7993,99,359,27.257534246575343,6.0,98.55072463768117,1.0,17
7994,158,359,31.4,7.0,98.55072463768117,0.0,24
7995,129,359,30.756164383561643,8.0,98.55072463768117,0.0,11
7996,84,359,30.01095890410959,9.0,98.55072463768117,0.0,20
7997,131,359,26.063013698630137,10.0,98.55072463768117,0.0,9
7998,137,359,36.8027397260274,11.0,98.55072463768117,0.0,26
7999,157,359,31.16986301369863,12.0,97.10144927536231,0.0,23
8000,133,359,25.21095890410959,13.0,97.10144927536231,0.0,19
8001,163,359,40.92602739726028,14.0,95.65217391304348,0.0,25
8002,65,359,24.93972602739726,15.0,95.65217391304348,0.0,18
8027,117,360,34.298630136986304,1.0,100.0,9.0,2
8028,119,360,35.156164383561645,2.0,100.0,6.0,14
8029,158,360,31.41917808219178,3.0,100.0,4.0,17
8030,157,360,31.18904109589041,4.0,98.66666666666667,3.0,26
8031,65,360,24.958904109589042,5.0,98.66666666666667,2.0,25
8032,123,360,31.915068493150685,6.0,98.66666666666667,1.0,16
8033,99,360,27.276712328767122,7.0,97.33333333333334,0.0,24
8034,110,360,30.03287671232877,8.0,93.33333333333333,0.0,13
8035,156,360,32.59452054794521,9.0,92.0,0.0,21
8066,123,361,31.953424657534246,1.0,100.0,9.0,6
8067,119,361,35.1945205479452,2.0,100.0,6.0,3
8068,110,361,30.07123287671233,3.0,100.0,4.0,9
8069,137,361,36.86027397260274,4.0,100.0,3.0,19
8070,163,361,40.983561643835614,5.0,98.55072463768117,2.0,22
8071,133,361,25.268493150684932,6.0,97.10144927536231,1.0,8
8072,102,361,29.263013698630136,7.0,95.65217391304348,0.0,2
8073,157,361,31.22739726027397,8.0,95.65217391304348,0.0,23
8105,117,362,34.394520547945206,1.0,100.0,9.0,1
8106,95,362,35.942465753424656,2.0,100.0,6.0,3
8107,119,362,35.25205479452055,3.0,100.0,4.0,8
8108,55,362,25.09315068493151,4.0,100.0,3.0,16
8109,140,362,32.85479452054795,5.0,98.75,2.0,13
8110,129,362,30.87123287671233,6.0,98.75,1.0,17
8111,158,362,31.515068493150686,7.0,98.75,0.0,25
8112,137,362,36.917808219178085,8.0,97.5,0.0,20
8113,139,362,27.506849315068493,9.0,97.5,0.0,24
8114,156,362,32.69041095890411,10.0,97.5,0.0,9
8115,103,362,24.89041095890411,11.0,96.25,0.0,15
8116,151,362,25.304109589041097,12.0,96.25,0.0,14
8117,92,362,26.561643835616437,13.0,95.0,0.0,11
8144,117,363,34.413698630136984,1.0,100.0,9.0,2
8145,95,363,35.961643835616435,2.0,100.0,6.0,3
8146,145,363,30.046575342465754,3.0,100.0,4.0,9
8147,137,363,36.93698630136986,4.0,100.0,3.0,10
8148,94,363,28.24931506849315,5.0,98.4375,2.0,11
8149,159,363,30.19178082191781,6.0,98.4375,1.0,15
8150,129,363,30.89041095890411,7.0,98.4375,0.0,24
8151,138,363,36.416438356164385,8.0,98.4375,0.0,16
8152,118,363,34.90958904109589,9.0,96.875,0.0,19
8153,123,363,32.03013698630137,10.0,96.875,0.0,7
8154,139,363,27.526027397260275,11.0,96.875,0.0,26
8155,92,363,26.58082191780822,12.0,96.875,0.0,21
8183,102,364,29.378082191780823,1.0,100.0,9.0,1
8184,117,364,34.45205479452055,2.0,100.0,6.0,2
8185,95,364,36.0,3.0,100.0,4.0,3
8186,119,364,35.30958904109589,4.0,97.77777777777777,3.0,5
8187,137,364,36.97534246575343,5.0,97.77777777777777,2.0,8
8188,118,364,34.94794520547945,6.0,97.77777777777777,1.0,17
8189,110,364,30.186301369863013,7.0,97.77777777777777,0.0,21
8190,84,364,30.183561643835617,8.0,97.77777777777777,0.0,12
8191,94,364,28.28767123287671,9.0,97.77777777777777,0.0,13
